Features,Logistic Regression,XGBoost,Random Forest,Random Forest - Top 10,Random Forest - Top 20,Random Forest - Top 30
Digestive system,0.0767524156509,0.000450450461358,0.00216315412507,,,
Nervous system,0.114663156904,0.000450450461358,0.00168531704212,,,
Integumentary system,0.0,0.00825825799257,0.00101462921981,,,
Follow-up inpatient consultations (deleted codes),0.0731851617596,0.000150150153786,0.0015987037036,,,
Diagnostic ultrasound,-0.0516447864448,0.0,0.00119703997233,,,
Chart_Count,-1.79436446396e-05,0.0632132142782,0.0645702892623,0.178693591784,0.127361286297,0.118248639118
DRG_SEVERITY,-0.0777552142712,0.00180180184543,0.00912155435074,,,0.003254494378
DRG_MORTALITY,0.103044523127,0.00420420430601,0.0104045644455,,,0.00442906860488
ICU-LOS,0.00577547320357,0.0270270276815,0.056275417157,0.106808457511,0.0619985137937,0.0543799522395
Input_Event_Count,0.000105627689784,0.0255255252123,0.0459492463321,0.0515610796292,0.0506628634833,0.0462632237098
Output_Event_Count,0.000119329653714,0.0198198202997,0.0437238991564,0.0554476122125,0.0398407705704,0.0346903647339
Lab_Event_Count,-0.000768708108545,0.0507507510483,0.050333995439,0.0946867879237,0.0541200798693,0.0489458623641
Lab_Abnormal_Count,0.00287962872606,0.0900900885463,0.0501019398102,0.110755189563,0.0716208287422,0.066186617082
F,-0.0204893530985,0.0,0.00810770999583,,,
M,0.00907829910607,0.0,0.00804764668865,,,
Age,0.00353844631002,0.0701201185584,0.0563620233254,0.254690308054,0.182335952321,0.171494189284
CMED,0.328385520934,0.0123123126104,0.00334203557113,,,
CSURG,-0.00178883398902,0.00135135138407,0.00317131013635,,,
ENT,-0.0258672608143,0.0,0.000316043397274,,,
GU,0.116343019688,0.0124624622986,0.00056696534567,,,
GYN,-0.982140111496,0.00855855830014,0.000497822434102,,,
MED,0.200413469931,0.010510510765,0.00633861128225,,,
NB,-1.028704601,0.00810810830444,0.0135578436685,,0.0710531376261,0.0704607346914
NBB,-0.688187422514,0.0,0.000117818869313,,,
NMED,-0.184150726952,0.00735735753551,0.00212884518598,,,
NSURG,0.210909170371,0.00150150153786,0.00272230312895,,,
OMED,0.52436899738,0.00240240246058,0.00133390121484,,,
ORTHO,-0.252496337428,0.0,0.000663644615972,,,
Other Service,0.254351815575,0.0,0.000156859322925,,,
PSURG,-0.171115914652,0.0,0.000404027868339,,,
SURG,0.143878550615,0.000900900922716,0.00313345087681,,,
TRAUM,-0.989106081256,0.0213213209063,0.00482056089217,,,
TSURG,0.430358036595,0.000300300307572,0.000969161208857,,,
VSURG,0.664841870193,0.0,0.0013910551814,,,
Text Cluster - 0,-1.26163569385,0.0,0.000255243257528,,,
Text Cluster - 1,-1.06904943793,0.0,0.00025862549335,,,
Text Cluster - 2,0.0,0.00075075076893,0.00165888939388,,,
Text Cluster - 3,1.01966754515,0.0,0.000161324877557,,,
Text Cluster - 4,-0.594638933304,0.0,0.00090503979108,,,
Text Cluster - 5,2.23536194164,0.0,0.000159228205616,,,
Text Cluster - 6,2.75273349313,0.0,0.000448091343309,,,
Text PCA - 0,-3.22223053237,0.010510510765,0.00919879131781,,,0.0282166577415
Text PCA - 1,0.482133231787,0.0120120123029,0.0113274861384,,0.0731652605978,0.0315994822169
Text PCA - 2,2.7655597954,0.014264264144,0.00975916283872,,,0.0161848020022
Text PCA - 3,0.95831076235,0.00180180184543,0.00865922431377,,,
Text PCA - 4,-0.495638883814,0.00270270276815,0.0093087246797,,,0.0213302726453
Text PCA - 5,0.0,0.0213213209063,0.00937052716518,,,0.023397721776
Text PCA - 6,0.0146296433544,0.00735735753551,0.008950856319,,,
Text PCA - 7,-1.0342579897,0.00855855830014,0.00888334838162,,,
Text PCA - 8,-0.25370020761,0.00570570584387,0.00800418658389,,,
Text PCA - 9,-0.0707787559733,0.00420420430601,0.00871140627311,,,
Text PCA - 10,-1.30180601263,0.00420420430601,0.00773990122862,,,
Text PCA - 11,-0.501212573733,0.00585585599765,0.00867182080144,,,
Text PCA - 12,0.862953119119,0.0115615613759,0.0077943560142,,,
Text PCA - 13,0.454751534341,0.00390390399843,0.00896926951349,,,
Text PCA - 14,-0.834329248193,0.00390390399843,0.00782276609633,,,
Text PCA - 15,-0.581189566423,0.0120120123029,0.00838553020555,,,
Text PCA - 16,-1.12947730599,0.0153153156862,0.00907301782263,,,0.0128511411007
Text PCA - 17,-1.40834677406,0.0228228233755,0.00891174146268,,,
Text PCA - 18,0.0375350939549,0.0064564566128,0.0078960549075,,,
Text PCA - 19,-0.157034167238,0.012162161991,0.00861345528106,,,
